Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"costela suína";"Costela Suína Sabor Molho Barbecue Aurora 900gpartir de 3 unidadesregras";43,90;900g;Tenda Atacado;https://www.tendaatacado.com.br/produto/costela-suina-sabor-molho-barbecue-aurora-900g;2026-03-21 21:49:16
"costela suína";"Carne Suína Panceta Lemon Pepper Premium 500g";46,12;500g;Spani Atacadista;https://www.spanionline.com.br/produto/12259/carne-suina-panceta-lemon-pepper-premium-500g;2026-03-21 21:49:16
"costela suína";"Costela Suína Aurora Congelada Barbecue 900g";49,90;900g;Atacadão;https://www.atacadao.com.br/costela-suina-aurora-congelada-barbecue-98356-48352/p;2026-03-21 21:49:16
"costela suína";"Costela Barbecue Seara Gourmet 1kgpartir de 3 unidadesregras";64,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/costela-seara-com-molho-barbecue-1kg-2839;2026-03-21 21:49:16
"costela suína";"Costela Suina Congelada Seara Gourmet 1kg Com Molho Barbecue";74,85;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/2370/costela-suina-congelada-seara-gourmet-1kg-com-molho-barbecue;2026-03-21 21:49:16
"costela suína";"Produto indisponível Salgadinho Lucky Torcida 60g Costela Com Limão";74,85;60g;Spani Atacadista;https://www.spanionline.com.br/produto/12983/salgadinho-lucky-torcida-60g-costela-com-limao;2026-03-21 21:49:16
"linguiça calabresa";"Pimenta Calabresa Dasabor 20g";1,99;20g;Spani Atacadista;https://www.spanionline.com.br/produto/197/pimenta-calabresa-dasabor-20g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Mista Fina Seara 215g";7,59;215g;Spani Atacadista;https://www.spanionline.com.br/produto/663/linguica-mista-fina-seara-215g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Fininha Defumada Pamplona 240gcionar";7,85;240g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-fininha-defumada-pamplona-240g-30017;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Brasa 400gcionar";9,99;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-brasa-400g;2026-03-21 21:49:16
"linguiça calabresa";"Pão De Alho Mezzani 310g Calabresa";10,79;310g;Spani Atacadista;https://www.spanionline.com.br/produto/8516/pao-de-alho-mezzani-310g-calabresa;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Seara 400g";10,90;400g;Atacadão;https://www.atacadao.com.br/;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Pamplona 400gcionar";11,49;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-pamplona-400g-33024;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Pamplona 400g";11,59;400g;Atacadão;https://www.atacadao.com.br/linguica-calabresa-pamplona-58459-35510/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Perdigão Defumada 400g";12,90;400g;Atacadão;https://www.atacadao.com.br/linguica-calabresa-perdigao-defumada-78759-35524/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Apimentada Sabor de Bragança 500go médio 0.5 kg Valor do kg: onar";12,95;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/ling-calabresa-apim-braganca-resf-kg;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Tipo Calabresa Seara 400gcionar";13,30;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-seara-400g-4977;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Defumada Alegra 400g";13,90;400g;Spani Atacadista;https://www.spanionline.com.br/produto/13693/linguica-calabresa-defumada-alegra-400g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Toscana Seara Congelada 600g";13,99;600g;Spani Atacadista;https://www.spanionline.com.br/produto/14883/linguica-toscana-seara-congelada-600g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Perdigão 400go médio 0.4 kg Valor do kg: onar";14,45;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-perdigao-400g-4944;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Cozida e Defumada Sadia 400gcionar";14,80;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-cozida-e-defumada-sadia-400g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Paio Seara 370g";14,89;370g;Spani Atacadista;https://www.spanionline.com.br/produto/11640/linguica-paio-seara-370g;2026-03-21 21:49:16
"linguiça calabresa";"Pizza Aurora 460g Calabresa";14,90;460g;Spani Atacadista;https://www.spanionline.com.br/produto/1192/pizza-aurora-460g-calabresa;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Seara Defumada 400g";15,29;400g;Spani Atacadista;https://www.spanionline.com.br/produto/658/linguica-calabresa-seara-defumada-400g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Frimesinha 500gcionar";15,75;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-frimesinha-500g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Aurora Resfriada Defumada 400g";15,90;400g;Atacadão;https://www.atacadao.com.br/linguica-calabresa-aurora-resfriada-defumada-39153-35314/p;2026-03-21 21:49:16
"linguiça calabresa";"Lasanha Seara 600g Calabresa";15,99;600g;Spani Atacadista;https://www.spanionline.com.br/produto/642/lasanha-seara-600g-calabresa;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Defumada Aurora 400gcionar";17,69;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-aurora-400g-2013;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Toscana Seara 5kg";17,90;5kg;Spani Atacadista;https://www.spanionline.com.br/produto/1156/linguica-toscana-seara-5kg;2026-03-21 21:49:16
"linguiça calabresa";"Pizza Seara 460g Calabresa";17,99;460g;Spani Atacadista;https://www.spanionline.com.br/produto/1202/pizza-seara-460g-calabresa;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Paio Aurora 400g";18,90;400g;Spani Atacadista;https://www.spanionline.com.br/produto/11387/linguica-paio-aurora-400g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Portuguesa Aurora 400g";18,90;400g;Spani Atacadista;https://www.spanionline.com.br/produto/11386/linguica-portuguesa-aurora-400g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Enrolada Aurora Congelada 700g";18,90;700g;Atacadão;https://www.atacadao.com.br/linguica-calabresa-enrolada-aurora-congelada-95486-45458/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Defumada Seara 2,5kg";19,90;5kg;Spani Atacadista;https://www.spanionline.com.br/produto/657/linguica-calabresa-defumada-seara-25kg;2026-03-21 21:49:16
"linguiça calabresa";"Produto indisponível Linguiça Toscana Brangança Fina Resfriada 0,500g";19,90;500g;Spani Atacadista;https://www.spanionline.com.br/produto/10950/linguica-toscana-branganca-fina-resfriada-0500g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Tipo Calabresa Prieto Fatiada 500g";20,50;500g;Atacadão;https://www.atacadao.com.br/linguica-tipo-calabresa-prieto-fatiada-72720-36600/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Enroladinha Congelada Aurora 700gpartir de 2 unidadesregras";20,90;700g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-enroladinha-congelada-aurora-700g;2026-03-21 21:49:16
"linguiça calabresa";"Lingüiça Toscana Seara 1kg";22,15;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1155/linguica-toscana-seara-1kg;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Toscana Bragança Resfriada 0,500g";22,90;500g;Spani Atacadista;https://www.spanionline.com.br/produto/10949/linguica-toscana-braganca-resfriada-0500g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça De Frango Aurora 1kg";23,21;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1129/linguica-de-frango-aurora-1kg;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Defumada Seara 500g";24,58;500g;Spani Atacadista;https://www.spanionline.com.br/produto/659/linguica-calabresa-defumada-seara-500g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Perdigão Defumada 1kg";26,80;1kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-perdigao-defumada-83679-35528/p;2026-03-21 21:49:16
